# OpenSignals Text File Format. Version 1
# {"00:07:80:F9:F3:52": {"position": 0, "device": "biosignalsplux", "device name": "00:07:80:F9:F3:52", "device connection": "BTH00:07:80:F9:F3:52", "sampling rate": 100, "resolution": [16, 16, 16, 16], "firmware version": 775, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2025-9-19", "time": "10:55:29.728", "channels": [1, 2, 3, 4], "sensor": ["XYZ", "XYZ", "RIP", "RIP"], "label": ["CH1", "CH2", "CH3", "CH4"], "column": ["nSeq", "DI", "CH1", "CH2", "CH3", "CH4"], "special": [{"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}], "digital IO": [0, 1], "sleeve color": ["white", "white", "dark_blue", "light_blue"], "convertedValues": 0}}
# EndOfHeader
0	0	34180	37344	45336	36716	
1	0	33929	37500	45324	36684	
2	0	34033	37549	45296	36508	
3	0	34088	37460	45288	36468	
4	0	34088	37504	45260	36362	
5	0	34196	37560	45276	36236	
6	0	34100	37480	45188	36064	
7	0	34024	37628	45176	35976	
8	0	34072	37560	45152	35848	
9	0	34088	37520	45076	35666	
10	0	34016	37517	44964	35478	
11	0	33944	37392	44868	35372	
12	0	34016	37568	44800	35205	
13	0	33950	37292	44744	35048	
14	0	34034	37472	44620	34880	
15	0	34040	37192	44556	34749	
16	0	33960	37478	44384	34504	
17	0	34060	37529	44266	34320	
18	0	34050	37300	44152	34100	
19	0	34068	37452	44032	34008	
20	0	34056	37456	43888	33756	
21	0	33964	37396	43704	33528	
22	0	33968	37344	43568	33400	
23	0	33965	37356	43424	33168	
24	0	33969	37328	43300	33022	
25	0	33930	37256	43068	32856	
26	0	33952	37316	42840	32626	
27	0	33908	37276	42636	32468	
28	0	33876	37260	42532	32336	
29	0	33844	37268	42232	32160	
30	0	33961	37284	42016	31996	
31	0	33928	37258	41796	31784	
32	0	33922	37288	41568	31644	
33	0	33872	37336	41400	31524	
34	0	33808	37380	41104	31380	
35	0	33892	37360	40872	31264	
36	0	33842	37396	40630	31121	
37	0	33796	37452	40532	31006	
38	0	33710	37432	40228	30833	
39	0	33814	37508	39916	30777	
40	0	33760	37556	39784	30696	
41	0	33770	37580	39408	30588	
42	0	33728	37564	39197	30440	
43	0	33617	37564	39001	30404	
44	0	33672	37584	38684	30262	
45	0	33888	37748	38508	30226	
46	0	33666	37790	38160	30109	
47	0	33552	37737	37956	30076	
48	0	33885	38052	37654	30008	
49	0	34194	37996	37472	29920	
50	0	33850	38184	37232	29878	
51	0	33777	38313	37012	29842	
52	0	33694	38224	36692	29776	
53	0	33796	38192	36481	29717	
54	0	33964	38080	36252	29648	
55	0	33980	38112	36048	29608	
56	0	33982	38090	35804	29569	
57	0	33988	37956	35640	29522	
58	0	34118	37826	35397	29484	
59	0	34233	37744	35224	29440	
60	0	34272	37604	35016	29401	
61	0	34200	37456	34845	29349	
62	0	34256	37288	34744	29320	
63	0	34292	37138	34520	29281	
64	0	34248	36908	34418	29242	
65	0	33964	36730	34288	29208	
66	0	33392	36584	34148	29172	
67	0	33372	36638	33990	29152	
68	0	32992	36488	33860	29120	
69	0	33152	36284	33724	29089	
70	0	33024	36140	33676	29081	
71	0	33316	36069	33570	29066	
72	0	33752	36036	33432	29020	
73	0	33900	36065	33344	29023	
