CH3	CH4
32052	31240
32048	31296
32064	31397
32076	31468
32104	31481
32137	31556
32181	31637
32252	31716
32306	31820
32398	31988
32500	32032
32584	32145
32688	32356
32816	32409
32956	32637
33109	32724
33300	32858
33468	33032
33640	33272
33874	33460
34048	33688
34280	33852
34570	34076
34762	34208
35044	34516
35300	34733
35617	34900
35865	35084
36160	35298
36450	35600
36768	35786
37076	36076
37378	36208
37734	36444
38066	36657
38408	36882
38720	37106
38980	37352
39304	37626
39620	37848
39948	38024
40368	38261
40568	38358
40968	38620
41212	38828
41473	38952
41892	39096
42036	39288
42318	39444
42652	39616
42933	39786
43072	39940
43410	40012
43600	40165
43736	40248
43960	40346
44124	40416
44280	40496
44472	40570
44644	40644
44704	40656
44824	40736
44953	40720
45028	40736
45040	40744
45096	40792
45120	40797
45152	40720
45136	40752
45120	40716
45108	40664
45108	40584
45024	40512
44928	40464
44836	40458
44816	40384
44632	40264
44588	40173
44426	40136
44288	40028
44116	39914
43962	39841
43832	39752
43712	39649
43448	39520
43370	39476
43172	39364
43008	39262
42721	39152
42628	39044
42412	38860
42120	38820
41997	38689
41832	38608
41604	38453
41272	38392
41056	38256
40872	38088
40648	38009
40528	37924
40224	37808
40012	37680
39920	37524
39608	37420
39512	37372
39304	37250
39076	37112
38889	37032
38624	36936
38432	36841
38301	36728
38060	36684
37920	36680
37762	36616
37544	36530
37364	36408
37249	36450
37042	36418
36956	36332
36796	36297
36628	36276
36490	36268
36326	36264
36200	36324
36096	36282
35916	36384
35794	36440
35700	36498
35624	36524
35539	36524
35476	36504
35292	36634
35232	36736
35141	36800
35060	36884
35004	36824
34912	36901
34896	36997
34804	37056
34772	37176
34724	37200
34702	37288
34698	37396
34698	37569
34737	37645
34704	37656
34740	37788
34742	37844
34788	37928
34864	38074
34940	38274
34960	38320
35016	38452
35124	38448
35242	38532
35284	38744
35440	38752
35492	38834
35620	38912
35737	39020
35864	39156
36000	39244
36140	39348
36276	39472
36416	39428
36584	39612
36722	39680
36885	39800
37020	39740
37188	39916
37344	39924
37544	40112
37692	40105
37862	40104
38097	40157
38212	40305
38380	40304
38544	40492
38820	40504
38916	40452
39164	40608
39256	40570
39397	40621
39572	40764
39740	40797
39905	40952
40144	40972
40340	41080
40512	41004
40584	41192
40760	41149
41026	41232
41080	41276
41272	41377
41452	41384
41628	41544
41746	41528
41906	41512
42032	41672
42240	41548
42320	41578
42461	41648
42708	41624
42856	41498
42961	41581
43008	41440
43132	41376
43276	41314
43452	41264
43520	41208
43672	41136
43786	41128
43978	41060
44100	41020
44224	40954
44348	40880
44432	40826
44528	40760
44692	40626
44736	40620
44852	40544
44928	40464
45012	40404
45092	40376
45192	40329
45256	40336
45312	40285
45396	40242
45440	40212
45464	40192
45540	40152
45600	40132
45640	40116
45596	40088
45676	40068
45600	40056
